OE_Response,Junk 
first io,no
even completed yr product price reduced drastically decrease price extend need compensation amazon shall take necessary action,no
got superb deal fact way cheaper mu prev plus got back late face id work like charm display seems great normal usage,no
day uselove device xr red premium top class phonegot kworth itcamera classy superbwith depth control featurevery smoothdisplay goodbit battery little low compared device goodbattery standby hr onscreen time h always data usage fb youtube apps face unlock quickover love device xrupgraded device se xrso battery much better,no
first apple product purchase prior mentality regarding apple product like value money company started using phone premium fell sooth buttery flow type interface way better android happy use phone,no
great phone gamer dont care hardware stuff pro photographer picture shoot epic loud person speaker low volume work perfectly battery life great like apple phone display soft eye like apple interface best nothing much say,no
used day awesome phone snappy fluid use battery backup pretty good around hour screenon time continouse dataon youtube hr using w adapter charge fast brought mm jack connector lightening separately rest good review day thanks,no
dont like feature device xr paying huge amount battery drained fast side button comfortable holding hand pressed automatically without knowing onetwo time automatically dialed number pocket think old version iphones much better phone want return phone dont find option amazon anyone please suggest return bought day,no
fingerprint reader phone replaced face recognition work fine user interface earlier device excellent coming battery lifeit simply amazing,no
received original device sealed package price best possible device market look feel great fast responsive using camera quality star portrait pic crisp clear watched k hdr video device stunningly beautiful tru color deep contrast display amazing device thanks amazon,no
item faulty make sure first,no
using phone since last daysfirst time io userspending much money worth purchased purchased used apple beforethose r buying apple logopl dont gothose r enthusiastic technology must go iti simple user technical camera orienteda simple redmi useri saying phone bad doe dont much usage regard unique feature avoid,no
amazing,no
main purpose phone make receive call right phone defective microphone call quality damn poor speak close microphone person hear feature work quite well photo even poco f take better picture applez brand nokia blackberry,no
using one month best camera battery backup,no
browsed lot phone saying lcd display older,no
serious problem lower mic spending money faulty crap two month finally feel biggest c india buying device fragile product connectivity issue software issue restriction type minor issue build causing serious issue think waste ya hard earned money apple product degrading quality keep stock share,no
good deal worth buying device customer non device user please dont buy find worthy premium product good feel better hand superb quality,no
bought white gb variantlooks premium large screenbeing lcd screen far much better phone competitionu get gb usable storage quite ok minimal userperformance amazing camera quality averagemust buy looking budget device specially offer,no
well apple product deliver quality apple phone xr another fine product bought day back lowest model device x series well spec lcd screen really feel priced thats reason get one star less,no
happy phone initially scared buy expensive review making go doubt product came good conditionphone superb thank amazon fast reliable service,no
giving review month use phone apple never disappoints shifted google phone apple bit difficult shift android io used many hidden feature u find tube camera awesome also learned extra tip photography youtube awesome speed phone never disappoints loading full gb data phone overall phone awesome,no
good buying store plastic cover cover box cut small piece missing due bad handling may disappointing see box sealed ok nothing complain,no
satisfied one plus picture customization better phone without comparison ok battery life good iphones app size store less compared play store even gb good,no
product adequate term quality performance screen creates problem eye ie comfortable eye bad product totally disappointing bad item delivered amazon heat problem device xr amazon sell fake iphones satisfied device also hanging problem,no
like xr review people yet graduate buying mobile etc online first time heard sort stuff amazon thank delivered tamper proof packing assurance ten day window return phone working fine,no
accessory packing good used apple product earlier packing accessory good quality seems apple degraded quality may ordered china matching standard apple,no
bad experience device xr many issue phone like click airdrop icon phone freeze force restart get working,no
quality best buy want quality best user friendly interface camera list go best thats u dont think click buy wont regret yes u want,no
excellent choice device family sad drop price around k month purchase missed chance lucky new customer,no
used month,no
happy phone xr mobile good comfortable mobile good battery health goood camera good processor proformence mobile completed phone good privacy ezy use u must,no
first device though early give review phone bought recently till im impressed device xr go,no
well month phone getting compliment first device ive bought say money youre paying phone mostly brand image,no
cant believe got phone r,no
bought around month back used writing review,no
camera working cannot setup faceid always displaying face id available error neither front camera portrait working please help dont clue go help,no
positive aspect xr battery life usage month downside weight especially upgrading device quite heavy due big battery make sure upgrade io use feature optimise battery charging longevity battery,no
upgraded device used year device xr seems super smooth amazing speed still getting used absence home button using regular charger phone take nearly hour fully charge charge last day regular usage phone slippery added spigen case well whole good device,no
amazing product fell love devicein short tell product dam equal premium mega pixel camera phone marketeven bit morei got time low price,no
flawless product really good product thanks amazon received perfect without default mobile performance awesome upgraded device xr feeling great enjoying new feature face unlock others face unlocking fast quick compare android phone side,no
product intact great packaging phone feel amazing first time using device really think xr worth want device doesnt burn deep hole pocket,no
first device totally happy one thing device xr best battery backup love performance redmi note device previously gb ram performance mark surprised device handling kind performance gb ram,no
happy battery life rest everything fine,no
loving xr super value money camera quality really good screen size perfect watching video doesnt look bulky downside apple logo back black colour isnt visible naked eye prominently best device model,no
bulky big perfect sized device display crisp clear smart hdr photo great steal deal r special sale delivered within hour ordering,no
got price best phone though little bulky heavy fine,no
camera quality battery life best feature phone fingerprint sensor drawback little bit heavy oneplus never used lcd screen feeling odd worth money built strong device come unnecessary apps delete later,no
excellent camera phone build finger print reader face id ur answer work great secure battery super better compared older iphones last hr call music bluetooth device connected browsing social medium pretty satisfied far,no
overall device xr far better x predecessor processor way fast others build quality awesome face recognition quick feel get holding superlike one suggestion apple must include fingerprint sensor effective security,no
bought sale totally worth im using device st time totally love device famous camera quality true problem doesnt fingerprint lock,no
ive using phone since week must say totally worth money go,no
device heating much little bit graphic work camera bad front camera matching quality io totally disappointed device think sold defective peice name sale platform kind professionalism good believe much amazon later giving bulk amount order e commerce platform sorry comment hurt anyone,no
bought device xr awesome cant really say much phone make statement,no
loved think thing lagging product oled screen issue quality lcd way good long obsessed every feature latest best go plus offering way better price definitely worth,no
camera quality good star rear camera night awesome give effect dslr front camera average quality grain taken photo apple camera give natural effect photo,no
month using device xr enthusiastic buying phone,no
got k received within day placing order apple face id secure way unlocking phone wouldnt get another phonecamera also top notch camera device x got without nd telephotowide angle lensoverall quite happy device xr,no
upgraded device xr im really happy performance look new feature battery life awesome face recognition work perfectly even dark total value money go without saying apple product,no
im happy say authenticgenuine apple product definitely buy amazon actually give better discount resellers,no
received yesterday transferring data plus took couple hour maybe net issue everything old phone came xr camera truly amazing go,no
excellent devicevalue money already device bought friend single difference compared device phone displayperformanceeverything device im pretty much satisfied,no
liked display camera quality response etc battery life great compared mih android phone hour full charge,no
price dropped discount within day purchased seemed cheated huge impact purchase site well apple manage thing regarding otherwise lose credibility doubt product good huge fluctuation price ruined whole prospect product,no
every thing might looking device except oled screen camera good device x limitation display big concern cant get better phone price range,no
amazing camera bright light average poor performance medium low light condition great battery privacy protection understated advantage,no
device xr delivers fast performance great camera longer battery life flagship phone colorful affordable package,no
everything well checked warranty look legitimate absolutely genuine product without doubt bought yellow colour feel mango hand getting worthy case real challenge though,no
using device oneplus device xr gb juz awesome face recognition battery life user interface compared device lesser cost size g,no
good device great price,no
phone good feature switching android love using interface pure secure platform flawless running experience,no
excellent product original bought device xr gb month october double minded buy product know online product never reach u perfectly assumption failed product,no
one word forgot android lovely phone,no
phone beast manthe phone touch response awesome io buttery smooth,no
first apple device term phone phone totally worth every penny colour camera design sound quality everything way beyond perfection,no
got k ditched one plus happy decision ya screen great feel difference coming p display else great,no
great phone camera good battery good take much time charge company apple need give fast charger box one thing weight device xr little bit android phone wise phone greatgaming performance great,no
want say go got amazon great indian festival let tell arrived within hour even though device exact screen almost feature except camera die hard camera fan go device work,no
dont buy device amazon,no
phone person need one really loved everything price range bybapple good product satisfied display display quality clearity poor p video play good blurry,no
thanks amazon got defective product first found scratch damage amazon always help got replaced quickly within day got brand new product like thank amazon seller also darshita electronics thinking buy device go darshita,no
camera quality awesome battery backup soo great give whole day use smooth interfacein many review said display lcd got device relies even device lcd display great viewing display regret buy device xr go guy,no
nothing say device always best phone time thank amazon bringing cost affordable great indian sale say irresistible deal really irresistible deal,no
device xr good yet use feature phone used device lot new feature available,no
great phone cut star camera developed problem week apple fixed unexpected apple seller must ensure thing dont happen,no
display,no
always thought buy device every time used think special device yes buying device xr say one replace starting battery life screen standard used one handed camera quality also good realise two three click device xr beast low price among device model,no
camera great,no
order placed october,no
pathetic product everyday reporting new issue going hangout every time,no
question affordability xr got price cut made affordable overall product quality awesome issue time hitech understand,no
apple ecosystem almost latest spec k,no
purchased beauty big billion sale thus got remarkable price battery life good far speed pretty good love overall look size design model lot camera quality great definitely higher version better camera quality experience provide,no
device lover always disappointed battery back getting superb phone love towards device become stronger amazing camera screen clarity good time response face unlock take leasser eye blinkamazing battery back stunning look overall need purchase dslr camera spend money u get phone lifetime,no
far iphones small write licensing etc back phone xr writing,no
phone excellentthanks amazon service delivery pathetic delivery boy refused deliver product went office get phone hope repeat future,no
camera quality night awesomethere lot feature edit picture video battery life around day normal usage hour heavy game like pubg asphalt video youtube play music etc price k steal,no
received device within week place order issue thanks amazon speedy replacement,no
using xr past month im completely delighted model certainly value money product device flagship category battery life excellent charging one time day enough power remaining day camera quality comparatively better high end category iphones,no
camera good screen size right people like use phone typing mail watching netflix one download multiple apps speed good face recognition work like magic using device since last yr found reason complain far,no
one best phone available market right apple always give best product customer chipset trillion operation per second never slows give best phone using experience go buy dont buy samsung product oneplus product useless go product,no
review month usage approximately,no
mobile device,no
first thank amazon blazing fast delivery packaging terrific trustworthy secondly apple get full mark master piece device xr capable handling heavy multitasking efficiently far good reviewed using almost day thanks amazon apple,no
superb phone got price big billion day sale,no
original product best price got great indian festival sale amazing discount far day use must say obvious noticeable upgrade people using device beyond camera quality quite good best battery life awesome,no
ordered wife wanted use device long willing change phone,no
could find fingerprint reader otherwise camera battery life good like live camera edit mode camera,no
using device last year model need carry power bankfor compared device,no
people say device xr inferior display please use u judge based spec ive using pixel recently switched device xr loved battery life unrivalled fave id charm,no
star quality st apple product wife family good phone clear crisp sound quality amazing display apple doesnt compromise product highly recommended,no
rating product seller delivered product scratch back panel,no
nice product battery life good camera ok amazon delivery wrost ordered twice suffer loss r price increased best discount period gone,no
happy amazon good price get time yes perfect original product device xr gb allrdy using device u love u buying first time u wll flll love sure giving review using device xr month trust guy good original product,no
loved brother bought device think xr battery life better heating problem loved phone fast fast fast fabulous camera,no
happy mobile let know u guy send new mobile give option upgrade device let know best done,no
first thing notice xr battery super long battery hour rest exactly device camera also need special mention great camera,no
supposed true device exception,no
gud phone camera super,no
device xr finger print reader unlocked face reading,no
infact upgraded device xr month using issue amazon best rate flash sale picked delivery prompt prior committed date device xr fantastic camera fast processor exceptional battery life high quality display,no
nothing much say specially device used several android device switched device xr oneplus simply switching fabulous experience,no
got great indian sale along exchange redmi using sbi credit card anawesome phone use device android phone seem cheap start appreciating little detail apple done make phone worth price hype afford close eye bye disappointed,no
box sealed looked repacked,no
used device since many year,no
got phone discount price amazon slightly heavy good looking phone terrific battery life phone fast responsive face detection,no
genuine product received seller darshita electronicseverything fine day useone thing set getting heat whenever large file downloaded playing gamerest everything coolim loving,no
awesome phone great battery life last upto whole day face id work great even dark room screen size perfect task using single hand get long term support w charging adapter work well good w charger w,no
feel big device user,no
love device xr much user friendly top notch though compromise compared model especially flagship one overall highly recommended phone apple fan device lover thank apple,no
make sure read instruction check package give otp phone brand new working great reservation online delivery experience seamless good get discount discount excellent productdevice xr jet fast loving,no
awesom getting day full hr hr pubg hr skype meeting call msg song internet finally device worked battery normal mode pow power mode even better,no
dont go review mention fake product much device xr ordered phone would b personal view point definitely fake thank god went instinct got great deal,no
super smooth premium product nice camera good battery life quick face unlock even dark play heavy game high graphic setting without lag overall good product,no
problem signal frequently going make mobile good signal voice video also become low good buy guide report issue,no
like everything product ordered device xr end festive sale amazon delivered product given time period everything phone work good fine doubt amazon give product u never unsatisfied end product performance outstanding amazon delivery also secure,no
really really good productif budget k definitely go device xrexcellent batterylist last half daybrilliant camera superb portrait mode ive purchased k amazon saleit surely value money,no
like phone,no
got iphonexr reasonable price apple company made one thing better model ie battery life phone run day full charge finger print reader model although face id accurate scan face even dark doubt picture quality come device,no
big apple fan almost decade never disappointed either hardware side io operating system got amazon deal attractive price,no
really good one apple easy use fast processor love big advantage support dual sim price dropped apple india,no
ya really super phonetheyre confusing toairpods earpods phone earpods lightening connector bluetooth airpod ur clearly understand u pay,no
switched android io far amazing battery go day heavy use camera awesome new io give feature need,no
gave faulty phone came knew one month,no
product excellent,no
nice phone worth buying price regret price went rupee within one day,no
using day properly phone started hang automatically restarts get stuck apple log format phone time apple service center could detect problem said sent bangalore repair due motherboard issue dnt want headache want phone replaced new sealed pack device,no
lesser device x max,no
r big billion sale exchange offer steal phone review go google plenty xr review good get,no
phone display concern brilliant even pbuild excellent,no
pretty good looking mobile performance wise super smooth camera good device x portrait mode also good enough best part device long lasting battery though lcd would hardly able find difference oled size perfect infact everything perfect cool,no
phone definitely performing per device standard frequent call drop issue network provider battery life worse device,no
back glass device got broken one month buying without prior incident disappointed service provided amazon something happens product amazon saying contact manufacturer,no
face id slow seems problem microphone issue sensor microphone issue touch issue ive trying raise complaint amazon support team always redirecting apple website ive unable return item since ive discovered problem really need assistance matter,no
great phone great battery life great camera especially low light great security face recognition happy bought right time price went,no
like luk fallen love firstsight feel great unlookers give appreciative glance invaluable asset,no
portrait camera taking photo substance anything peopleit always say person detected portrait function people object,no
say apple amazing man youre buying mobile better buy casealong backside mobile slippery made plastic plus glassworth buy,no
best product apple till date,no
love itit got wantgood camera decent battery life good sound etc etcand display give problemsif something complain price,no
superb smartphone certain feature apple make completely class apart great battery backup extraordinary camera quality support dual sim etc segregate brand,no
best value money device extremely satisfied purchase worry storage gb model wireless charging wow,no
perfect phone though bit heavy coz metal body got red colour favourite settled red basically mixture red maroon camera quality also good best compare apple phone overall love phone gift darling husband,no
timely delivered gr deal amazon month back ordered one plus mobile seller delivered original product,no
simply love xr battery life great im really missing telephoto lens buy product red support aid research,no
product working fine expected apple product however two scratch mark side phone unboxing strange,no
always charm use device ease use fast response key,no
phone hanging n seller returning changing phone tried many time,no
apple patron started using device bought xr honestly feel terrible hype build around face id never work camera get stuck portrait mode honest feedback iphones anymore say apple lost good customer,no
excellent phone happy suggest u buy amazon maintaining genuine seller good quality product biggest important thing customer support much happy amazon customer support hat,no
bought new device xr amazon delivery within hour brand new pack sealed,no
started using phone realized take much longer time get charged however phone get charged quickly respective cable unsure originality product received,no
value money productapple still giving amp charger expensive phone almost mah battery charger also given along also se,no
bought cell phone retired father person wanted great battery life good camera great speaker ease use present android cell phone market,no
got product one piece thats true product defected one two speaker one damaged regular device user since past year thats could point amazon kindly notice,no
battery mah like many phone still lot life second device performance outclasses android phone,no
excellentthe best purchase small amount purchased offer amazon,no
osome product suggest get device updated version device xr,no
beautiful phone great camera feel phone get heated bit guess sure though first day phone constantly playing online game,no
value money excellent little costly,no
evrything goodproblem compared mi poco f rswaste money,no
love apple product using since finest device ive ever used,no
received order yesterday voice recorder defective spoken apple support troubleshooting recommended get checked authorised service centre seems defected piece,no
bought phone big billion day well packed phone good battery quality camera quality amazing buy yet thinking go disappoint,no
phone received defective please think twice buying apple product faced issue macbook air solution provided amazon surprising use good customer care feel wasted money,no
processor speed expected,no
received phone checked warranty apple site showing purchase validatedafter hour checked smile face apple said purchase validated warranty,no
amazon sending defective device please dont purchase,no
best phone user really need good battery life camera supreb video stabilization fabulous go bit bulky feel like u r carrying mini rdx,no
personally like apple product charger good shout like apple product moth using charger stopped working,no
overall phone rate considering price k gb camera quality gud basic feature advanced tech like one oppo mi battery gud sustain day dont play gamescall function worry phoneit get stuck sudden attempting call,no
first would like say delivery boy amazon polite consumer,no
faceid functioning daysphone freeze selfie portrait mode activatedface work anymore,no
android match io,no
gift spouse bit bulky side effective gadget,no
ive using phone almost month fastest smartphone ive ever used know year device faster watching ton comparison video youtube ive decided go xr dont think worth extra buck im satisfied purchase,no
amazing smartphone best build auality camera amazing picture battery life also good one problem back single camera money value product,no
buying product scared product fake may used,no
bought phone sale period near diwali nice phone big screen ideal people reply email lot work related chat phone batter life seems really impressive go without charging day constant internet connection,no
phone software problem microphone wasnt working,no
wow experience,no
clear update device camera quality awesome impressive thing battery life seamless could miss touch ok,no
dont buy doesnt come dual sim slot esim required india jio airtel provide e sim technology,no
value money good quality money wise price daily coming market amazon price market price,no
dont say much apple apple make best phone buy apple dont want try phone amazing phone,no
heating fast use minute use,no
bad product accessory cheap quality packing also facing problem regarding warranty day purchase charger adapter lighting cable ha failed apple care also behaving badly highly disappointed regarding please give way return phone,no
really user friendly user interface buttery smoothcamera quality awesome esp portrait mode sure compare device im happy phone,no
got discount hdfc card bought gift one else per user response good phone work effectively,no
doesnot look like original device keep hanging even week old doesnt take finger command well n hang continuously pathetic product need replacement,no
loving upgraded android,no
fingerprint reader face lock perfect,no
amazing battery life even heavy use battery last whole day easily device xr super smooth face unlock fast really impressed privacy option related apps best device use k price,no
first device xr using phone realise device specialthe feature screen touch look awesome happy purchase device,no
purchased device brand n dual sim found value money,no
bought second great indian sale k though k higher st sale happy buy know good deal much statisfied phone quality delivery speed packing quality improve,no
fact feature function mobile good especially price low thousand mobile delivered short time priced thousand,no
excellent phone need super speed face id charm think got excellent deal dussehra sale thing dumbfounded colour look orange screen pinkish real life solved using spigen black cover gone black,no
received mobile amazon buying new set self speaker problem still received feedback amazon sold mobile taking responsibility feel bad poor customer support since amount phone xr r k huge,no
using fone since almost month simply adorable beauty red colourcamera quality awesome battery could improved bit hr full net usage,no
camera video slow mo working properly havent received bill neither hard copy soft,no
feel good using first time great feeling hold device,no
device xr came today white line defect phone amazon replacing mobile feeling cheated spent hard earned money device,no
frequent user internet data device xr battery awesome longstanding two day camera quality also awesome value money,no
completely satisfied product dual sim device way complicated battery camera feature best xr,no
facing difficulty disconnecting hang call remove phone ear light didnt appear disconnect call need wait person disconnect call end light screen time red button didnt work,no
excellent mobilebought cashbackrsesim jio prepaid working wellbattery life excellent complete day,no
using past couple month phone great st device ive always android fan past great battery life smooth say totally worth price,no
product good apple always delivery prompt apple user require gadget sync bought always look according ur requirement buy phone suit best,no
best device buy price range pretty huge battery life smooth interface outstanding camera,no
phone good dont issuesbut box content wrote earpods gave normal earphone wrong informationthey wil give anything even sim card placement pin also,no
mobile cool fast performance interface amazing apple feel thing went good one bad thing display p display slightly colour variable noticed tho good mobile good price apple,no
big change moving device plus phone face id super fast accurate,no
buying brand name go else use,no
upgrading device gb device xr best decision ever made everything perfect optimize touch display camera sound processor battery literally everything apple need work latest io though also im getting kill pugb hand bionic,no
excellent device k camera battery touch incomparable,no
gb variant used monthgreat performance excellent finishing stylish face id powerful work even pitch dark condition camera amazing bit bulky u put cover rear camera significantly back surface phone,no
got different item,no
rating product delivery till last minute kept toe box completely sealed condition amazon answer coming handset issue simply amazing one know use wisely would update review using month,no
got phone unboxing dint get proper accessory box headphone missing,no
screen becomes unresponsive often there way restart phone screen unresponsive,no
best phone apple device,no
nice phone,no
product good face id work fast battery last longer previous iphones depending usage last day heavy usage gaming battery last hour camera good daylight use low light photography grainy overall good product,no
finger print sensor missing phone bit heavy,no
good priduct,no
face recognition battery life user interface secondary device thats apple satisfies high expectation apple device xr awesome really worth,no
got exchange old android phone never believed low price get dual sim device latest chipsetthanks amazon providing great discount,no
user upgrade xr,no
good phone nice camera water resistant provides good battery even backup gaming,no
automatically restart time,no
phone super fast u never shift android using iphones problem apps well designed apple like voot keep lagging rest everything need explain,no
got k good deal awesome use,no
unbelievable productcrafted precisionmobile bestamazon deal mind blowingbest place get devicedelivery fastcamera excellentios rocksno second thoughtsdevice beast ownamazon place go,no
beautiful product got k billion day sale,no
battery camera face id everything work well slightly heavy bigger used use large screen phone use soon get used,no
needless rate apple less year old apple bionic still outperforms sd io beautiful liquid smooth o android never compete,no
purchase device xr new year eveand say awesome phone great display important gd battery performancei love device want recommend thinking buy new phone,no
month purchased xr everything seems fine ie bigger size good battery life advanced processor,no
love device,no
started new product asked setup apple id process product heating degree suddenly restarted half way,no
camera picture yellowish,no
first thing strike colour vibrant really nice,no
bought device xr amazon sound quality wrost speaker pathetic approached return clearlly deniedvery bad exeperience,no
defiantly iphones costlier brand nowadays brand like one plus also selling phone k quality device others comparison,no
camera awesome selfie well photography fast interface minus point battery life time yeah rest feature good make phone special loved using,no
product received good condition face recognition feature back camera working wellthe phone submitted phone service center last week repair,no
got k sale,no
best device till date,no
fantastic device perfect size display good battery life incredible camera result excellent comparable x x max super fast bionic board handle everything superbly,no
ohhwhat say phone one word awesome think better device almost every aspect portrait mode outstanding anyone using device next device,no
face recognition fast,no
io android one plus must admit phone amazing im still amazing back io regret soo many little thing make difference leaf user wow feeling xr bit thick time get used,no
hardware failure less one month purchase amazon take responsibility replacing working icare fix may even cost get fixed extremely unhappy phone post sale service,no
unboxed found defect screen informing amazon first assured replacement amazon changed stand asked contact apple care examining mobile creating inspection sheet even though problem clearly visible accepted amazon well,no
phone bogus nd get heated sometimes charger nt workcamera averageplz dont buy amazon,no
worth upgrading,no
one best camera price range mindblowing photo video quality plus mention best ever battery life apple device ive used far,no
disappointed doesnt come finger print scanner face unlock otherwise good apple phone u r tight budget,no
bought two phone sale one awesome device xr another samsung phone device awesome love touch display camera sound quality everything costly love whilst others phone purchased big mistake,no
little doubtful purchasing since sure receive genuine apple device received absolutely genuine one working perfectly till date thing dont like device take lot time charging okay manageable,no
apple behaves like one slightly heavier side bit big considering inch,no
moved xr mind blowing experience,no
battery life okay camera awesome everything,no
apple reduced price device xr become affordable considering feature received described amazon,no
reviewing one month use,no
good battery life amazing sound quality camera good really love first apple product,no
fingerprint face unlock compare awesome battery good camera best device device compare brand best thing duel sim wowonly giving fast charging adaptor supported u pay extra,no
first hesitant buying device xr negative reviewit day really wonderful producti got deal amazon,no
phone freeze frequently battery doesnt last long whole disappointed phone expect apple,no
excellent model extraordinary deal festival season love apple product difference quality photo awesome battery life better still feel improved however usage ok,no
shifted android device really worth new amazing premium experience battery life far better expectation iphones got phone k feel absolute value money,no
excellent sound quality thats one device beat qualityimmersive display awesome performance,no
find display issue device month see thin black line top bottom inch left side battery adapter also working properly also unable access amazon customer care also,no
great battery life buttery smooth transitionsanimations refined compared android phone face recognition bit glitchy though daughter trigger wife login,no
dont know explain need review one word apple go worth money,no
product masterpiece box corner damaged like box undergone ruff condition,no
second purchase phone amazon happy satisfied productthanks amazon keep,no
unique feature product face id unlock working product delivered keep visiting apple service centre get fixed,no
im apple fan simplicity elegance good camera addition phone longer battery life even good internet use may price could little competitive nice phone,no
excellence phone every thing fine,no
device xr camera better oneplus txr beat op excellent phone,no
like phone much great product apple happy bought product discount worth every penny photo quality amazing recharging time less,no
marvelous phone came proper packagee proper secure coding amazon thank amazon organised delivery,no
received product hair line scratch screen appear glance upon reflection light specific angle appears delivery could detect day recognized apple expect cheating product quality,no
device always master mobile really amazing thanks amazon best discounted price,no
day one good xr use day conclusion battery life impressive feel good handle seems slip hard sometimes,no
face id goodworks sometimesometime force use passcode unlockdefault keyboard layout dot keywhile editing text hard place cursor desired place wordhey apple get update next update,no
amazing product expected apple super camera super battery life super display,no
amazing device xr experience dont need device x device x iphonepro perfect device one love apple brand go device xr iphone fabulous,no
amazing piece art technology apple buy beast especially u r getting k far delivery experience concerned good smooth due delay poor packaging amazon thumb xr amazon delivery experience,no
amazing phone x x max way better price phone real winner got fast charger new bt earphone woth difference overall st device really amazing,no
th phone,no
received product feeling excited detailed review coming month delivery awesome placed order yesterday evening received today noon package damage free let see future performance,no
overall look usage good time take charge nearly hr nill fullconsidering backside design little coddy compared x definitely u feel much premium using white astonishing like sny thing worth money,no
look good also working great disappointed thing purchasing screen replacement warranty,no
first devicethere problem switching o im far happy changethough battery life okay mediocre cheap charger,no
big daddy branded phone upgraded modelreally good decision think one thing look big hand spent time,no
best device price range,no
month review best deal amazon k gb excellent battery life almost used upto day g data enabled face lock issue camera quality good portrait feature work human face detection red colour attractive,no
wife shez coming device one upgrade great phone,no
phone received starting cant see option replace cheaty,no
nice phone great price deal,no
best budget device currently got k gb model amazon sale,no
great phone greatest mind,no
good productyou buy without hesitationgo itbattery device xr goodit last upto hour light useface recognition also excellentthis phone smooth use definitely love using,no
good,no
phone awesome battery backup n camera also good phone slim like xx,no
good phone camera facial recognition next level njoying throughout,no
best ever apple phone value money nothing say amazing discount amazon delivery also time satisfied,no
proximity sensor working able make call apps keep openig wbile making call,no
like display sound battery,no
yesterday got xr week k best offer best thing xr battery life good compare iphones xr powerhouse game like pubg play hd smoothly heat lag good camera best im satisfied issue genuine product amazon,no
great phone battery life amazing navigation usual device mark overall excellent experience,no
apple one addiction never go use use xr sister absolutely beautifully crafted device excellent camera phone,no
loving phone everything phone like speed performance camera amazing,no
best r,no
good performance good camera water resistant wireless charging make phone complete,no
quality apple fab u cant match android smartphonetried several smartphone nun given kind superb experience,no
issue actually faced mic wrong place driving critical answer inside helmet mic back side phone rest awesome,no
two week using phone dont regret buying good camera quality battery back good enough storage loved,no
everything good far,no
ph dead responding defective product option return,no
excellent phone excellent camera fantastic battery life dual sim second one esim option quite practical camera quality excellent portrait mode io usual superb user friendly excellent performance,no
dont see much update version however see phone always amazing performance,no
everything excellent u want buy surely go short paisa vasul kaam,no
first time apple user honest apple amazing aspect camera sound battery display lagging issue everything far better android mobileits mp camera look like mp android mbl quality differs others,no
device best prompt delivery amazon two camera could even better,no
good product great experience,no
switched started getting heated near camera mix gold yellow bit ugly side speaker isnt working selfie portrait good rest much appreciable,no
superb require review large screen superb quality gb memory else want,no
device xr current rightly priced phone apple good product phone fingerprint unlock security face recognition present,no
perfect phone apple lover camera built quality phone amazing around month purchased phone everything work like charm lot hidden feature still dont know phone,no
reason star earphone given part purchase mark take call using earphone people complaint sound proper sound come good remove earphone talking phone,no
bad experience amazon within day phone charging issue didnt get response amazon,no
upgraded device face recognition excellent camera good portrait photography battery life good bit heavier comfortable,no
amazon delivery little bit late phone awsome,no
nice phone fluid interface face recognition really good think apple bring back fingerprint scanner apple specific home button,no
got festival sale r really enjoying phone performance camera sound display everything top standard smartphone match price love,no
phone working properly replacing product product replacement warranty please buy amazon problem day replace phone give customer care,no
lot software issue specially contact name displayed screen receive call one stored contact person raised issue multiple time poor performance apple dont buy model,no
people spoke criticised device xrs screen compared x found screen colour accurate,no
new xr phone getting hung frequently shuffle around apps dont much apps active though moved apps icloud even apps get struck couldnot action havent seen though issue,no
using since day till could find anything disappointing phone battery running day camera single lens click good speed screen perfect upgraded device,no
awesome experience device xr red color,no
problem device xr bought day ago,no
affordable device really prof come photography performance offcourse battery backup almost month clicked box urban smartphone offer,no
complaint face reader great fingerprint reader older version device,no
device xr simple superb,no
awesome phone good battery life awesome camera k recording started vlogging channel youtube xr shooting editing uploading one awesome performance,no
really admire piece thing,no
product received value money battery life pretty much cool loved system performance worth buying,no
ordered phone august delivered august month phone fully dead working,no
used phone couple day look really good amazon good job timely delivery probably phone good far position give proper feedback unless used,no
best u dont want see annoying ad ur feed,no
great product good upgrade device large screen fast water resistant great camera look good,no
original product still remember opening packet please make short video received,no
superb phone wish could match battery life manufacturer offering one third price,no
